cliente_id,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,churn
1,44,Feminino,Sudeste,Mensal,Pix,Padrão,38.0,42,27,0,2,15,169,Mobile,Séries,"5,0","3,0","2,0",0
2,36,Feminino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,20,23,0,1,15,97,Mobile,Filmes,"2,0",,"3,0",0
3,46,Feminino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,6,14,0,2,56,118,Desktop,Séries,"1,5",,,0
4,57,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,10,70,0,0,0,31,TV,Séries,"4,0",,,1
5,34,Outros,Nordeste,Mensal,Crédito Recorrente,Premium,49.9,22,31,0,1,0,46,mobile,Esportes,"4,0",,"1,5",0
6,34,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,7,37,0,0,0,82,tv,Esportes,"4,0",,"3,0",0
7,58,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,1,25,1,2,8,50,Tablet,Documentários,,,"3,5",0
8,47,Feminino,Nordeste,Mensal,Débito,Básico,24.9,40,15,0,3,86,61,Desktop,Esportes,"4,0",,"5,0",0
9,31,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,7,33,0,1,0,14,Mobile,Séries,,,"3,5",0
10,45,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,12,91,0,1,0,7,Mobile,Séries,"2,0",,"3,0",1
11,31,Masculino,Sudeste,Mensal,Débito Automático,Padrão,38.0,12,35,0,0,0,33,tv,Documentários,"4,0",,"3,0",0
12,31,Masculino,Centro-Oeste,Mensal,Débito,Básico,24.9,28,41,0,2,0,33,mobile,Documentários,,,"1,0",1
13,41,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,41,0,3,0,125,Tablet,Novelas,"4,0",,"1,5",0
14,18,Feminino,Sudeste,Mensal,Débito,Básico,24.9,12,7,0,1,44,163,Tablet,Esportes,,,,0
15,18,Feminino,Sul,Mensal,Débito,Básico,24.9,30,14,0,1,18,69,Tablet,Filmes,"4,0","5,0","2,5",0
16,30,Masculino,Sul,Mensal,Pix,Básico,24.9,22,24,0,3,15,82,Tablet,Séries,"1,5","3,0",,0
17,24,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,12,21,0,0,9,87,Mobile,Filmes,"4,0","3,5","4,5",0
18,42,Não Informar,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,19,14,0,0,92,41,mobile,Séries,"4,0",,"3,5",0
19,26,Feminino,Sudeste,Mensal,Débito,Básico,24.9,2,48,0,2,0,110,TV,Séries,"2,0",,"4,0",0
20,19,Feminino,Norte,Anual,Crédito Recorrente,Padrão,32.0,4,43,0,2,0,137,Tablet,Documentários,"4,0",,,0
21,57,Feminino,Nordeste,Mensal,Pix,Básico,24.9,15,35,0,3,0,39,TV,Infantil,"1,5",,"1,0",1
22,35,,Centro-Oeste,Mensal,Pix,Básico,24.9,11,15,0,1,28,91,TV,Séries,"3,5",,"2,5",0
23,38,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,29,0,2,11,6,Tablet,Infantil,"2,5","5,0","4,0",0
24,19,Masculino,Sudeste,Mensal,Boleto,Básico,24.9,0,0,0,1,7,30,TV,Séries,,"1,5","5,0",1
25,30,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,30,43,0,3,0,86,Mobile,Documentários,"3,0",,"2,0",0
26,39,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,0,1,0,1,112,116,tv,Filmes,,"4,5",,0
27,23,,Sudeste,Anual,Crédito Recorrente,Premium,38.0,0,1,0,2,56,99,TV,Filmes,,"4,0","2,5",0
28,42,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,1,23,0,0,18,128,Tablet,Documentários,,,"5,0",0
